model,params,mean_test_f1,std_test_f1,mean_test_accuracy,std_test_accuracy,rank_test_f1
DecisionTree,"{'clf__ccp_alpha': 0.001, 'clf__criterion': 'entropy', 'clf__max_depth': 20, 'clf__min_samples_leaf': 2}",0.5897470393070576,0.025908600457991638,0.8211557883877761,0.005826147176876554,20
DecisionTree,"{'clf__ccp_alpha': 0.001, 'clf__criterion': 'entropy', 'clf__max_depth': 10, 'clf__min_samples_leaf': 2}",0.5895436358875381,0.024692947512827475,0.8283419265686988,0.006002183013601926,21
DecisionTree,"{'clf__ccp_alpha': 0.001, 'clf__criterion': 'entropy', 'clf__max_depth': 10, 'clf__min_samples_leaf': 1}",0.5894100155844264,0.024467103036481804,0.8282498031232819,0.005828078510931006,22
DecisionTree,"{'clf__ccp_alpha': 0.001, 'clf__criterion': 'entropy', 'clf__max_depth': None, 'clf__min_samples_leaf': 2}",0.5892988930750982,0.025662571101992857,0.8208791633323216,0.005518584447494485,23
DecisionTree,"{'clf__ccp_alpha': 0.001, 'clf__criterion': 'entropy', 'clf__max_depth': 10, 'clf__min_samples_leaf': 4}",0.5892034974821603,0.024065595738772674,0.8284340500141157,0.006169996031834323,24
RandomForest,"{'clf__class_weight': None, 'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__n_estimators': 400}",0.5869459156779415,0.027946415761023063,0.8367258818060442,0.009072113877620868,11
RandomForest,"{'clf__class_weight': None, 'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__n_estimators': 200}",0.5833707375175374,0.023354919623048438,0.8359888942427091,0.007049958447956234,12
RandomForest,"{'clf__class_weight': 'balanced_subsample', 'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__n_estimators': 400}",0.5746455188500599,0.014542026169337629,0.833593812021473,0.0036703061861254964,13
RandomForest,"{'clf__class_weight': 'balanced_subsample', 'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__n_estimators': 200}",0.5734239796388255,0.013666335167981217,0.832764828372323,0.003099582751271351,14
DecisionTree,"{'clf__ccp_alpha': 0.0, 'clf__criterion': 'entropy', 'clf__max_depth': 10, 'clf__min_samples_leaf': 1}",0.5672680719815555,0.02198069368542972,0.8171929094664268,0.006569595579285973,25
