scaler,outlier,f1_mean,f1_std
minmax,lof,0.6488450729558946,0.015258307460754721
standard,lof,0.647475708263383,0.014899434621389042
standard,none,0.6451236601591823,0.016852383443926706
minmax,none,0.6434912778638082,0.0168147330934737
standard,iforest,0.643337254971355,0.02278789317358775
minmax,iforest,0.6427927345209015,0.023004208962370112
